,Date,Authentication,Description,Rating
0,2023-10-05,,"British Airways was absolutely shocking   Booked a very special holiday for me and my partner, September arrived and we were on our way to lovely South of France, Booked Business Class for us both to start the holiday right. As we were checking I was told the flight was over booked and our seats wouldn't print onto the ticket for some reason. We had already made sure the seats were booked when we had booked the flights nearly a year prior to going. Unfortunately when we arrived at the gate we were then told we would no longer be sat together and one of us would in fact have to go into economy. My girlfriend is an extremely nervous flyer and so had to take extra tablets to remain calm, She didn't have any food which we had pre booked also and she was sat right down the bottom end of the flight. We were held at the gate with another 4 or 5 couples all in the same predicament all due to the lovely money grabbing British Airways over booking the flight. They ended up refusing passengers in the end and even had people sat on the fold down chairs in the toilet area. When we eventually arrived in France late, we was waiting for our luggage to come. Our airtags stated that both our cases was in fact still in Heathrow. We then had to wait 4 days for them to eventually come into France by this point our holiday was ruined. British Airways was absolutely shocking, we couldn't speak to anyone as all the phone numbers were no longer in use. We felt stranded in a foreign country with no clothes and no one to help use with what to do next. Every day we watched them case not moved as we were tracking with air tags. it was so frustrating not being able to plan our days in hope we would get the call to then drive all the way back to the air port 2 hours each way to collect our cases. we ended up going out and buying new clothes toiletries and all the stuff to make the best of our ruined holiday, saving all the receipts thinking we would be able to claim it all back. how wrong I was. British airways take zero responsibility and fob me off with going through my insurance. British Airways only pay for basic essentials, Pants and toothpaste. I filed a complaint when I got back and requested my money back for business class and they haven't even had the decency to even respond. They are an absolute joke of a company and I wish they would remove British out of there name because there is nothing British about them. Do not give them your money, they cant even look after their staff let alone customers. Oh and don't bother trying to cancel your flight either as they just take all of your money off you and give you nothing back.",0.5
1,2023-10-03,,"service was mediocre at best  Just returned from Chicago, flew out 10 days ago on American Airlines absolutely superb in every way, had high expectations on return flight with BA. What a disappointment. The Airbus A380 may be nice from a pilots perspective but as a passenger it was awful. Very uncomfortable seats, the inflight entertainment and flight tracker failed to work throughout the flight, the inflight meal was inedible and the service was mediocre at best. Our short flight from Heathrow to Manchester was much improved, very welcoming and attentive in flight staff and the flight even arrived early. In future we will travel with one of the American carriers.",0.1
2,2023-10-02,Verified,"BA standards continue to decline   BA standards continue to decline every time I fly with them. This time, a 45 min late departure, which seems the norm for BA, and no information from the rude and clueless boarding gate staff. The Club lounge was overcrowded, dirty and grubby and cleaning staff could not cope. How many more cutbacks is BA going to apply before they become truly low cost. As a 35 year veteran user of BA, while people complained of Alex Cruz cutting costs, the past 3 years has seen them decline very quickly under their latest CEO. One reads the occasional article about BA improving things, but I have yet to see anything substantive. There seem to be few British staff left amongst the cabin crew, so maybe time for a name change and give the flag carrier status to a proper low-cost - and sadly the staff service has declined year on year. Onboard, the catering remains poor and surprised that Do&Co can produce such rubbish meals when I have sampled their Turkish Airlines equivalent in August that was superb - guessing BA are too tight with their budget. Onboard WiFi service is a joke and should be avoided.",0.2
3,2023-10-02,,"won the race to the bottom   Awful. Business class check in queue just as long as for economy, probably because half of the desks were not staffed and Terminal 5 is chaotic. Business lounge overfull, couldn't get seats. Delayed flight, unmanaged chaos at the gate. No drink on boarding, first drink served an hour after take-off. The meal was poor, used to get better in economy on other airlines. British Airways has won the race to the bottom of the cheapskate stakes. Not looking forward to the flight home.",0.2
4,2023-10-02,Verified,"Not a reliable airline   Not a reliable airline. You cannot trust the timing at all. I had a 6.45am flight, boarding was on time, but then we are sitting in the plane for already (1.5 hours) and the expected departure is still not clear. They have discovered the engine is not working! I am risking to be late for a business meeting in Geneva. How come they bring a not working plane to the gate. The funny thing is that I had another business trip in spring 2023, also with BA to Amsterdam. When I arrived to the Airport that time - I was told I don't have a seat. I was put on the next flight in several hours, which should have get me to the business meeting late, but still not too much. A lot of stress. In the end, on the second plane we were sitting in the cabin for 1.5 hours and I have missed the meeting. I thought it was a dramatic unlucky case that time, but today I see it's routine for BA not to fly on time.",0.2
5,2023-09-30,Verified,"It is a national disgrace   I take comfort in reading the last ten or so reviews to see I'm not the only traveller to put in words, how absolutely abysmal British Airways are! The only reason we are stuck using this awful airline is to use up points. We booked Club Europe months ago. London to Athens, sat in row 3 and told they had run out of food options, only choice was lentil pie or green curry. Returning Athens to London Club Europe. Couldn't check in online as promised so arrived at the airport 3hrs early. To be told they had overbooked the flight and basically we were being 'bumped' to economy. This airline fails to deliver time and time again. It is a national disgrace and I implore everyone to choose an alternative.",0.3
6,2023-09-30,Verified,"The worst journey in my life   The worst journey in my life. The connection time at LHR was only 1 hour, but the flight from MXP was on delay. I had to rush to change terminal by train and arrived risking a heart attack. After that the plane just stayed there for another 40 minutes. Despite that, upon arrival at SJC my baggage was lost. I filled the form and gave to the employee. I was not given any receipt, so I did not have any reference number. BA phone number at SJC simply never answer. I called twice the toll free number and realized they did not record the delivery address. I had to enter myself online, dealing with a shitty website. They delivered the baggage three days later. I claimed for compensation online, as I had to buy clothes and other stuff and I did never get a receipt. I was expecting an upgrade for the flight back to MXP, but nothing happened, neither they allowed me to enter BA lounge at SJC. Bad customer service. The only positive side was price, but obviously this cannot justify this treatment and if I knew , I would never flown by BA. Never again!",0.1
7,2023-09-28,Verified,"Very disappointed  The airplanes and the lounges are worn out, old and broken. From Dallas to Heathrow, multiple first class seating and electronics were non functional and poorly designed. The first class seating from Heathrow to Dubrovnik was nothing more than a tray blocking the middle seat of a standard coach ticket. Very disappointed.",0.3
8,2023-09-28,Verified,"the service was shockingly bad  One of the worst experiences on the worst airline. The flight was delayed due to earlier technical issues. The time slipped from 17:00 to 20:00 to 22:00 and finally cancelled. There was zero information given. Despite paying well over the odds for business class, we were booted out of the BA lounge two hours before the flight. When it was finally cancelled, the BA staff. Without explanation, told everyone to go to a gate. After another hour or so they made us re enter the UK via passport control, a further 40 minute wait. By now the airport was closing and there was no sign of our bags or any help from BA. A passing Gatwick engineer finally helped us locate the bags. BA completely washed their hands of us and in contravention of CAA rules refused to find us accommodation. Many slept in a bus stop overnight. There were people with young children who couldn’t find somewhere to stay and yet BA had closed down and left. The following day the replacement flight was also late and due to an admin mistake had no catering or liquids for a 2 1/2 hr flight. Overall the service was shockingly bad, the worst I have experienced from any airline. I will not ever use them again.",0.4
9,2023-09-27,Verified,"Never again will I fly BA   Cancelled our flight last-minute then moved us onto a flight 2 days later operated by Japan Airlines. We had paid a lot extra for extra legroom seats as I am very tall and they assigned me a middle seat deep in the middle of the plane. Because it was operated by a different airline but booked by BA, neither BA nor the other airline could change my seat over the phone despite seats being available. After 4 hours of waiting in queues and sitting on hold their solution was for me to arrive early at the airport. I did but the seats had already been given away for free by people who had booked directly with that airline and could check in online. I got a £10 meal voucher as compensation for this enormous downgrade on a 14 hour flight. Never again will I fly BA. I would rather fly indirect with better airlines than use this disgrace of an airline again.",0.1
